Date,Description,Amount
2026-01-05,Netflix Subscription Monthly,15.99
2026-01-08,Spotify Premium Subscription,12.99
2026-01-12,Adobe Creative Cloud,54.99
2026-01-15,Notion Personal Pro,10.00
2026-01-20,Apple One Bundle,16.95
2026-01-25,Amazon Prime Video,14.99
2026-02-05,Netflix Subscription Monthly,15.99
2026-02-08,Spotify Premium Subscription,12.99
2026-02-10,Slack Pro Workspace,8.00
2026-02-12,Adobe Creative Cloud,54.99
2026-02-15,Notion Personal Pro,10.00
2026-02-20,Apple One Bundle,16.95
2026-02-22,YouTube Premium Family,22.99
2026-02-25,Amazon Prime Video,14.99
2026-03-05,Netflix Subscription Monthly,15.99
2026-03-08,Spotify Premium Subscription,12.99
2026-03-10,Slack Pro Workspace,8.00
2026-03-12,Adobe Creative Cloud,54.99
2026-03-15,Notion Personal Pro,10.00
2026-03-17,Disney Plus Subscription,12.99
2026-03-20,Apple One Bundle,16.95
2026-03-22,Figma Pro Plan,12.00
2026-03-25,Amazon Prime Video,14.99
2026-04-05,Netflix Subscription Monthly,15.99
2026-04-08,Spotify Premium Subscription,12.99
2026-04-10,Slack Pro Workspace,8.00
2026-04-12,Adobe Creative Cloud,54.99
2026-04-15,Notion Personal Pro,10.00
2026-04-20,Apple One Bundle,16.95
2026-04-22,Dropbox Plus 1TB,12.99
2026-04-25,Amazon Prime Video,14.99
